Brand,Function,Category,Name,link
Kiehl's,hydrating,facial mask (cream),Kiehl's Avocado Nourishing Hydrating Mask,https://www.skincarisma.com/products/kiehl-s/avocado-nourishing-hydrating-mask/ingredient_list#info-section
Kiehl's,hydrating,facial mask (cream),Kiehl's Calendula & Aloe Soothing Hydration Mask,https://www.skincarisma.com/products/kiehl-s/calendula-aloe-soothing-hydration-mask/ingredient_list#info-section
Kiehl's,anti-aging,facial mask (cream),Kiehl's Ginger Leaf & Hibiscus Firming Mask,https://www.skincarisma.com/products/kiehl-s/ginger-leaf-hibiscus-firming-mask/ingredient_list#info-section
Sisley,anti-aging,facial mask (cream),Sisley Black Rose Cream Mask,https://www.skincarisma.com/products/sisley-paris/black-rose-cream-mask/ingredient_list#info-section
Fresh,hydrating,facial mask (cream),Fresh Creme Ancienne Ultimate Nourishing Honey Mask,https://www.skincarisma.com/products/fresh/creme-ancienne-ultimate-nourishing-honey-mask/ingredient_list#info-section
Chantecallie,anti-aging,facial mask (cream),Chantecallie Bio Liftying Mask,https://www.skincarisma.com/products/chantecaille/bio-lifting-mask/ingredient_list#info-section
Fresh,hydrating,facial mask (cream),Fresh Vitamin Nectar Vibrancy-Boosting Face Mask,https://www.skincarisma.com/products/fresh/vitamin-nectar-vibrancy-boosting-face-mask/ingredient_list#info-section
La Prairie,anti-aging,facial mask (cream),La Prairie Skin Caviar Luxe Sleep Mask,https://www.skincarisma.com/products/la-prairie/skin-caviar-luxe-sleep-mask/ingredient_list#info-section
La Prairie,hydrating,facial mask (cream),La Prairie Cellular Hydralift Firming Mask ,https://www.skincarisma.com/products/la-prairie/cellular-hydralift-firming-mask/ingredient_list#info-section
Charlotte Tilbury,hydrating,facial mask (mask),Charlotte Tilbury Instant Magic Facial Dry Sheet Mask,https://www.skincarisma.com/products/charlotte-tilbury/instant-magic-facial-dry-sheet-mask/ingredient_list#info-section
Guerlain,anti-aging,facial mask (cream),Guerlain Orchidee Imperiale Mask,https://www.skincarisma.com/products/guerlain/orchidee-imperiale-mask/ingredient_list#info-section
Tatcha,hydrating,facial mask (mask),Tatcha Luminous Dewy Skin Mask,https://www.skincarisma.com/products/tatcha/luminous-dewy-skin-mask/ingredient_list#info-section
Avene,hydrating,facial mask (mask),Avene Soothing Sheet Mask,https://www.skincarisma.com/products/avene/soothing-sheet-mask/ingredient_list#info-section
Pond's,hydrating,facial mask (mask),Pond's Hydrate + Glow Sheet Face Mask,https://www.skincarisma.com/products/pond-s/hydrate-glow-sheet-face-mask/ingredient_list#info-section
Neutrogena ,hydrating,facial mask (mask),Neutrogena Hydro Boost Hydrating 100% Hydrogel Mask,https://www.skincarisma.com/products/neutrogena/hydro-boost-hydrating-100-hydrogel-mask/ingredient_list#info-section
